"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mark Andrews","BAL","TE12","0.0","0.0","0.0","59.6","618.8","7.7","0.3","137.4"
"Romeo Doubs","NE","WR46","0.0","0.0","0.0","57.1","744.6","5.4","0.3","135.2"
"Deebo Samuel Sr.","SF","WR47","29.1","112.2","1.1","56.3","635.9","4.4","0.4","134.8"
"Isaiah Likely","NYG","TE13","0.0","0.0","0.0","63.1","745.3","5.0","1.3","133.7"
"Matthew Golden","GB","WR48","5.5","27.3","0.1","55.9","758.7","4.6","0.4","133.5"
"De'Zhaun Stribling","SF","WR49","1.5","6.5","0.0","54.0","799.0","4.7","1.3","133.5"
"Stefon Diggs","WAS","WR50","0.3","0.7","0.0","67.0","747.1","4.2","0.2","132.7"
"Blake Corum","LAR","RB41","167.6","801.5","6.4","11.9","80.4","0.2","0.7","132.6"
"Rashid Shaheed","SEA","WR51","13.4","88.9","0.3","49.9","755.8","3.8","0.8","131.8"
"Dalton Kincaid","BUF","TE14","0.0","0.0","0.0","57.1","706.8","5.5","0.2","131.6"
"KC Concepcion","CLE","WR52","4.2","22.5","0.1","61.3","784.5","3.6","1.3","130.8"
"Jake Ferguson","DAL","TE15","0.0","0.0","0.0","74.0","606.4","6.0","1.4","130.5"
"Khalil Shakir","BUF","WR53","1.1","5.5","0.0","69.7","726.3","3.9","0.8","130.1"
"Josh Downs","IND","WR54","1.4","4.2","0.0","68.8","704.9","4.2","0.8","129.3"
"Jalen Coker","CAR","WR55","0.0","0.0","0.0","60.7","718.0","4.5","0.8","127.4"
"Hunter Henry","NE","TE16","0.0","0.0","0.0","55.5","650.6","5.4","0.1","125.2"
"Calvin Ridley","TEN","WR56","4.5","27.6","0.6","46.7","762.4","3.2","0.2","124.8"
"Makai Lemon","PHI","WR57","1.5","6.5","0.0","52.8","738.2","4.4","1.3","124.5"
"Denzel Boston","CLE","WR58","1.0","5.0","0.0","58.7","746.5","3.5","1.3","122.8"
"Juwan Johnson","NO","TE17","0.0","0.0","0.0","64.7","730.3","3.3","1.3","122.4"
"Brenton Strange","JAC","TE18","0.0","0.0","0.0","60.0","661.2","4.3","0.2","121.7"
"Jerry Jeudy","CLE","WR59","0.5","2.0","0.0","56.0","752.8","2.9","0.7","119.2"
"Tre Tucker","LV","WR60","11.2","54.6","0.2","50.2","631.6","3.8","0.1","117.0"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.8","627.1","3.4","0.2","115.4"
